REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,"Cowansville (CA), Que.",2021S0504437,Row house,30.4,75,140,1.8
2021,"Cowansville (CA), Que.",2021S0504437,Apartment or flat in a duplex,30.5,550,1090,2.0
2021,"Cowansville (CA), Que.",2021S0504437,Apartment in a building that has fewer than five storeys,30.6,3125,5135,1.6
2021,"Cowansville (CA), Que.",2021S0504437,Apartment in a building that has five or more storeys,30.7,0,0,0.0
2021,"Cowansville (CA), Que.",2021S0504437,Other single-attached house,30.8,60,110,1.8
2021,"Cowansville (CA), Que.",2021S0504437,Movable dwelling,30.9,30,55,1.7
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Total - Structural type of dwelling,31.1,6960,14710,2.1
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Single-detached house,31.2,4380,10455,2.4
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Semi-detached house,31.3,350,750,2.2
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Row house,31.4,65,130,2.0
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Apartment or flat in a duplex,31.5,650,1180,1.8
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Apartment in a building that has fewer than five storeys,31.6,1330,1855,1.4
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Apartment in a building that has five or more storeys,31.7,5,5,
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Other single-attached house,31.8,75,145,1.9
2021,"Dolbeau-Mistassini (CA), Que.",2021S0504411,Movable dwelling,31.9,105,185,1.8
2021,"Drummondville (CMA), Que.",2021S0503447,Total - Structural type of dwelling,32.1,45695,98565,2.2
2021,"Drummondville (CMA), Que.",2021S0503447,Single-detached house,32.2,24185,61640,2.6
2021,"Drummondville (CMA), Que.",2021S0503447,Semi-detached house,32.3,2400,5265,2.2
2021,"Drummondville (CMA), Que.",2021S0503447,Row house,32.4,820,1965,2.4
